vendor,category,default_ports,protocol,probe_paths,signature_markers,severity,has_enumerator,source_repo
Weaviate,Vector databases,8080;8443,http,/v1/meta,json:version;json:modules,high,yes,aimap
ChromaDB,Vector databases,8000,http,/api/v2/heartbeat;/api/v1/heartbeat;/api/v1/collections,body:nanosecond heartbeat;json_array,high,yes,aimap
Qdrant,Vector databases,6333,http,/collections,json:result,high,yes,aimap
Ollama,LLM runtimes,11434,http,/api/tags,json:models,high,yes,aimap
llama.cpp server,LLM runtimes,8080;8000;11434,http,/v1/models;/props;/,"body:""owned_by"":""llamacpp"";json:default_generation_settings;body:chat_template;hdr:Server=llama.cpp",high,yes,aimap
vLLM,LLM runtimes,8000;80;443,http,/v1/models;/version,json:data;body:vllm;json:model;json:version,medium,yes,aimap
LLM Guard API,LLM safety / guardrail,8000;80;443,http,/,json:name;body:LLM Guard API,high,no,aimap
AnythingLLM,RAG / knowledge-base frameworks,3001;80;443,http,/api/setup-complete;/,json:results;body:RequiresAuth;body:MultiUserMode;body:AnythingLLM | Your personal LLM,medium,no,aimap
LightRAG,"RAG Framework Servers (Cat-07, 2026-05-31)",9621,http,/docs;/,body:LightRAG,high,no,aimap
PrivateGPT,"RAG Framework Servers (Cat-07, 2026-05-31)",8001,http,/docs;/,body:PrivateGPT,high,no,aimap
txtai,"RAG Framework Servers (Cat-07, 2026-05-31)",8080;8000,http,/openapi.json,body:txtai;body:/workflow,high,no,aimap
Cognita,"RAG Framework Servers (Cat-07, 2026-05-31)",8000;5001,http,/,body:cognita;body:truefoundry,high,no,aimap
R2R,"RAG Framework Servers (Cat-07, 2026-05-31)",7272,http,/v3/health,json:results;body:response,high,no,aimap
Kotaemon,"RAG Framework Servers (Cat-07, 2026-05-31)",7860,http,/,body:kotaemon,high,no,aimap
Quivr,"RAG Framework Servers (Cat-07, 2026-05-31)",5050,http,/docs,body:Quivr,medium,no,aimap
Danswer/Onyx,"RAG Framework Servers (Cat-07, 2026-05-31)",3000;8080,http,/,body:Danswer;body:Onyx;body:connector,high,no,aimap
Verba,"RAG Framework Servers (Cat-07, 2026-05-31)",8000,http,/,body:goldenverba,high,no,aimap
DocsGPT,"RAG Framework Servers (Cat-07, 2026-05-31)",5001,http,/,body:DocsGPT,high,no,aimap
Ragapp,"RAG Framework Servers (Cat-07, 2026-05-31)",8000,http,/admin/;/,body:ragapp;body:llamaindex,high,no,aimap
Perplexica,"RAG Framework Servers (Cat-07, 2026-05-31)",3000,http,/,body:Perplexica,high,no,aimap
RAGFlow,"RAG Framework Servers (Cat-07, 2026-05-31)",80;9380;443,http,/,body:ragflow;body:RAGFlow,high,no,aimap
Kiali,Service mesh / cluster introspection planes,20001;443;80,http,/api/namespaces;/kiali/api/namespaces;/api/config,json_array;body:istioNamespace,high,no,aimap
Hubble UI,Service mesh / cluster introspection planes,12000;30120;80;443;8080,http,/,body:<title>Hubble UI</title>,medium,no,aimap
Linkerd Viz,Service mesh / cluster introspection planes,8084;8085;80;443,http,/,,high,no,aimap
Linkerd Proxy Admin,Service mesh / cluster introspection planes,4191,http,/env.json;/metrics,body:LINKERD2_PROXY_;body:proxy_build_info;body:inbound_http_authz,high,no,aimap
Cilium Metrics,Service mesh / cluster introspection planes,9962;9963;9965;9090,http,/metrics,body:cilium_drop_count_total;body:hubble_flows_processed_total,medium,no,aimap
Istio Envoy Admin,Service mesh / cluster introspection planes,15000,http,/config_dump;/server_info,body:envoy.admin.v3;body:.svc.cluster.local;json:version;body:state,high,no,aimap
