vendor,category,default_ports,protocol,shodan_dorks,probe_paths,signature_markers,severity,auth_posture,auth_evidence,has_enumerator,supplementary_notes,sources
Docker Registry,Adjacent,5000;5001;51000;55000,http,"port:5000 http.html:""/v2/""",/v2/;/v2/_catalog,hdr:Docker-Distribution-Api-Version=registry/2.0;json:repositories,low,mixed,ledger 11/11 unauth,yes,,AI-LLM-Infrastructure-OSINT;aimap
Anti-detect CDP server,Agent Frameworks,3000;5100;9222;9223,http,,/;/json/version,body:processes;body:seed;body:websocketdebuggerurl;hdr:Server=aiohttp;json:active,high,unauth-on-default,,yes,,aimap
AutoGen Studio,Agent Frameworks,80;443;8000;8001;8081,http,"http.html:""autogen""",/api/health;/api/version,body:service is healthy;body:version retrieved successfully;json:data;json:status,critical,unauth-on-default,,yes,,AI-LLM-Infrastructure-OSINT;aimap
AutoGPT,Agent Frameworks,,,"http.html:""AutoGPT""",,,,,,,,AI-LLM-Infrastructure-OSINT
BabyAGI,Agent Frameworks,,,"http.html:""babyagi""",,,,,,,,AI-LLM-Infrastructure-OSINT
HyperAgent,Agent Frameworks,,,"http.html:""hyperagent""",,,,,,,,AI-LLM-Infrastructure-OSINT
MetaGPT,Agent Frameworks,,,"http.html:""metagpt""",,,,,,,,AI-LLM-Infrastructure-OSINT
Phidata,Agent Frameworks,,,"http.html:""phidata""",,,,,,,,AI-LLM-Infrastructure-OSINT
SWE-agent,Agent Frameworks,,,"http.html:""swe-agent""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Argilla,Agent Memory,80;443;6900,http,"port:6900 http.html:""argilla""",/api/_info;/api/v1/version,json:version,medium,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
Cognee,Agent Memory,8000,,"port:8000 http.html:""cognee""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Graphiti,Agent Memory,8000,,"port:8000 http.html:""graphiti""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Letta,Agent Memory,8084;8283,http,"port:8283 http.html:""letta""",/openapi.json;/v1/health,body:letta;json:paths,medium,mixed,,no,,AI-LLM-Infrastructure-OSINT;aimap
mem0 OpenMemory,Agent Memory,3000;8765,,"port:3000 http.html:""openmemory""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Mem0 via ChromaDB,Agent Memory,8000,,"port:8000 http.html:""chroma"" http.html:""mem0""",,,,,,,,AI-LLM-Infrastructure-OSINT
Mem0 via Qdrant,Agent Memory,6333,,"port:6333 http.html:""qdrant"" http.html:""mem0""",,,,,,,,AI-LLM-Infrastructure-OSINT
Memobase,Agent Memory,8019,,"port:8019 http.html:""memobase""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Motorhead,Agent Memory,8000,,"port:8000 http.html:""motorhead""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Zep,Agent Memory,5557;8000,http,,/api/v2/health,body:zep,medium,mixed,,no,,aimap
Zep CE,Agent Memory,8000,,"port:8000 http.html:""zep""",,,,mixed,,,,AI-LLM-Infrastructure-OSINT
Apache Tika,AI Gateways,,,"http.html:""tika""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Arize AI,AI Gateways,,,"http.html:""arize""",,,,,,,,AI-LLM-Infrastructure-OSINT
Bifrost,AI Gateways,8080,,"port:8080 http.html:""bifrost""",,,,unauth-on-default,,,,AI-LLM-Infrastructure-OSINT
Bifrost AI Gateway,AI Gateways,80;443;8080,http,,/,body:<title>Bifrost</title>;body:getbifrost.ai;hdr:server=fasthttp,medium,mixed,,no,,aimap
Docling,AI Gateways,,,"http.html:""docling""",,,,,,,,AI-LLM-Infrastructure-OSINT
