port,class_or_group,notes,source_repo
80,llm-gateway,LLM inference gateways/brokers (Ollama/vLLM/TGI/OpenWebUI/LiteLLM/sub2api),scanner/port_classes.go
443,llm-gateway,LLM inference gateways/brokers,scanner/port_classes.go
3000,llm-gateway,LLM inference gateways/brokers,scanner/port_classes.go
4000,llm-gateway,LLM inference gateways/brokers,scanner/port_classes.go
5000,llm-gateway,LLM inference gateways/brokers,scanner/port_classes.go
7860,llm-gateway,LLM inference gateways/brokers,scanner/port_classes.go
8000,llm-gateway,LLM inference gateways/brokers,scanner/port_classes.go
8001,llm-gateway,LLM inference gateways/brokers,scanner/port_classes.go
8080,llm-gateway,LLM inference gateways/brokers,scanner/port_classes.go
8443,llm-gateway,LLM inference gateways/brokers,scanner/port_classes.go
8888,llm-gateway,LLM inference gateways/brokers,scanner/port_classes.go
11434,llm-gateway,LLM inference gateways/brokers (Ollama canonical),scanner/port_classes.go
6333,vector-db,Vector databases (Qdrant REST),scanner/port_classes.go
6334,vector-db,Vector databases (Qdrant gRPC),scanner/port_classes.go
7575,vector-db,Vector databases (Weaviate alt),scanner/port_classes.go
7576,vector-db,Vector databases,scanner/port_classes.go
8000,vector-db,Vector databases (ChromaDB/Milvus Attu),scanner/port_classes.go
8123,vector-db,Vector databases,scanner/port_classes.go
19530,vector-db,Vector databases (Milvus gRPC primary),scanner/port_classes.go
19121,vector-db,Vector databases,scanner/port_classes.go
50051,vector-db,Vector databases (Weaviate gRPC),scanner/port_classes.go
51000,vector-db,Vector databases,scanner/port_classes.go
55000,vector-db,Vector databases,scanner/port_classes.go
3000,observability,"Observability/tracing for LLM stacks (Phoenix/Langfuse/Helicone/Grafana)",scanner/port_classes.go
4317,observability,Observability — OpenTelemetry gRPC collector,scanner/port_classes.go
5601,observability,Observability — Kibana,scanner/port_classes.go
6006,observability,Observability — Phoenix/TensorBoard,scanner/port_classes.go
8123,observability,Observability,scanner/port_classes.go
9090,observability,Observability — Prometheus,scanner/port_classes.go
9091,observability,Observability — Prometheus pushgateway/Milvus metrics,scanner/port_classes.go
9094,observability,Observability,scanner/port_classes.go
9100,observability,Observability — node_exporter,scanner/port_classes.go
16686,observability,Observability — Jaeger UI,scanner/port_classes.go
80,registry,Container registries (Docker/Harbor/Quay),scanner/port_classes.go
443,registry,Container registries,scanner/port_classes.go
5000,registry,Container registries — Docker Registry default,scanner/port_classes.go
5001,registry,Container registries,scanner/port_classes.go
2376,registry,Container registries — Docker Daemon TLS,scanner/port_classes.go
2377,registry,Container registries — Docker Swarm,scanner/port_classes.go
8080,registry,Container registries,scanner/port_classes.go
8081,registry,Container registries — Harbor/Nexus alt,scanner/port_classes.go
8443,registry,Container registries,scanner/port_classes.go
9000,registry,Container registries — MinIO,scanner/port_classes.go
9090,registry,Container registries,scanner/port_classes.go
80,network-mesh,Network/service mesh control planes,scanner/port_classes.go
443,network-mesh,Network/service mesh control planes,scanner/port_classes.go
4191,network-mesh,Network mesh — Linkerd proxy-admin,scanner/port_classes.go
4245,network-mesh,Network mesh — Hubble Relay gRPC,scanner/port_classes.go
6443,network-mesh,Network mesh — Kubernetes API,scanner/port_classes.go
8084,network-mesh,Network mesh — Linkerd viz,scanner/port_classes.go
8085,network-mesh,Network mesh — Linkerd viz,scanner/port_classes.go
8443,network-mesh,Network mesh — K8s alt,scanner/port_classes.go
9090,network-mesh,Network mesh,scanner/port_classes.go
9962,network-mesh,Network mesh — Cilium metrics,scanner/port_classes.go
9963,network-mesh,Network mesh — Cilium metrics,scanner/port_classes.go
9965,network-mesh,Network mesh — Cilium metrics,scanner/port_classes.go
12000,network-mesh,Network mesh — Hubble UI,scanner/port_classes.go
15000,network-mesh,Network mesh — Envoy admin,scanner/port_classes.go
15010,network-mesh,Network mesh — istiod xDS,scanner/port_classes.go
15012,network-mesh,Network mesh — istiod,scanner/port_classes.go
15014,network-mesh,Network mesh — istiod debug,scanner/port_classes.go
20001,network-mesh,Network mesh — Kiali,scanner/port_classes.go
30120,network-mesh,Network mesh — Hubble UI NodePort,scanner/port_classes.go
3000,workflow-orch,"Workflow orchestration (Prefect/Dagster/Temporal/Argo/Kubeflow/KServe/Flyte/BentoML)",scanner/port_classes.go
4200,workflow-orch,Workflow orchestration — Dagster,scanner/port_classes.go
8080,workflow-orch,Workflow orchestration,scanner/port_classes.go
8090,workflow-orch,Workflow orchestration,scanner/port_classes.go
8233,workflow-orch,Workflow orchestration — Temporal UI,scanner/port_classes.go
8265,workflow-orch,Workflow orchestration — Ray Dashboard,scanner/port_classes.go
8888,workflow-orch,Workflow orchestration,scanner/port_classes.go
